,count,size
澤,326,3
鉢,325,3
藩,325,3
喫,325,3
嘗,325,3
嬢,325,3
凶,325,3
塑,325,3
鬆,325,3
妬,325,3
噴,325,3
憾,325,3
膠,324,3
醒,324,3
惨,324,3
愧,324,3
余,324,3
悼,324,3
閥,324,3
脛,324,3
渟,324,3
稽,324,3
憬,323,3
迭,323,3
衷,323,3
姻,323,3
炊,323,3
慳,323,3
詰,322,3
醜,322,3
艇,322,3
慰,322,3
寮,322,3
織,322,3
咽,322,3
瞼,322,3
緻,322,3
搾,322,3
妊,322,3
淆,322,3
娠,321,3
憧,321,3
玩,321,3
劾,321,3
刹,321,3
茫,321,3
卦,321,3
殴,321,3
蘆,321,3
隆,321,3
絵,321,3
丘,321,3
剰,321,3
郭,320,3
笠,320,3
凄,320,3
努,320,3
倣,320,3
快,320,3
隷,320,3
菅,320,3
熟,320,3
肯,320,3
肺,320,3
滄,319,3
珊,319,3
柏,319,3
捜,319,3
虜,319,3
椅,318,3
訃,318,3
鋳,318,3
妖,318,3
栃,318,3
墓,318,3
票,317,3
摯,317,3
湖,317,3
貶,317,3
戮,317,3
巨,317,3
腋,317,3
礫,316,3
畳,316,3
板,316,3
吐,316,3
已,316,3
錮,316,3
敢,316,3
奴,316,3
硬,315,3
綾,315,3
幹,315,3
輪,315,3
楷,315,3
抓,315,3
温,314,3
撥,314,3
褐,314,3
垣,314,3
愉,314,3
滴,314,3
邦,313,3
延,313,3
阮,313,3
輸,313,3
輝,312,3
帆,312,3
哲,312,3
弐,312,3
仁,311,3
頂,311,3
周,311,3
椰,310,3
卸,310,3
惧,310,3
巴,310,3
乃,309,3
凰,309,3
史,308,3
嘲,308,3
倍,308,3
緑,308,3
羞,307,3
篠,307,3
克,307,3
菊,307,3
舅,307,3
祐,307,3
瑞,307,3
拉,307,3
焉,306,3
腸,306,3
敦,306,3
鯛,306,3
葛,305,3
寿,304,3
尚,303,3
又,303,3
苗,303,3
操,303,3
堺,302,3
璽,302,3
莉,301,3
錦,301,3
坪,300,3
純,300,3
瘍,300,3
辻,300,3
猪,299,2
釧,299,2
龍,299,2
磯,298,2
弩,298,2
倶,297,2
樽,297,2
芦,297,2
泊,297,2
嵐,296,2
牟,296,2
郁,296,2
皆,296,2
諸,296,2
丼,296,2
貞,295,2
萩,294,2
筑,293,2
筒,293,2
繁,293,2
曽,292,2
圭,292,2
芽,291,2
紗,291,2
伸,291,2
榎,290,2
吾,290,2
典,290,2
樋,290,2
峰,290,2
洲,290,2
諏,289,2
滑,289,2
拓,289,2
鮭,289,2
鍋,289,2
添,289,2
滝,288,2
湾,288,2
荘,288,2
舌,288,2
宗,287,2
棚,287,2
朗,287,2
桐,287,2
昇,286,2
淀,286,2
淑,286,2
翔,284,2
荻,284,2
飾,284,2
斐,284,2
慶,284,2
苫,284,2
碧,284,2
淳,284,2
秦,284,2
卓,284,2
湧,283,2
茉,283,2
澄,283,2
尻,283,2
宣,282,2
薩,282,2
狛,282,2
敬,281,2
揖,281,2
晃,281,2
苅,281,2
栖,281,2
祇,281,2
鴻,281,2
潔,281,2
桂,281,2
刈,281,2
宅,281,2
窪,280,2
亨,280,2
涌,280,2
鱈,280,2
佑,280,2
笹,280,2
幕,280,2
函,280,2
轟,280,2
玲,280,2
巳,279,2
臼,279,2
梶,279,2
邸,279,2
悦,279,2
舘,279,2
薄,278,2
蒲,278,2
嵩,278,2
颯,278,2
畠,278,2
肥,278,2
鯖,278,2
俣,278,2
楯,277,2
鮫,277,2
亥,277,2
寛,276,2
燈,276,2
蘭,276,2
朱,276,2
宰,276,2
憲,276,2
岬,276,2
橘,276,2
駒,276,2
冨,276,2
柄,275,2
狩,275,2
雫,275,2
均,275,2
惣,275,2
迫,275,2
砥,275,2
蛸,274,2
櫛,274,2
幣,274,2
漬,274,2
汲,274,2
槻,274,2
鮪,274,2
軒,274,2
脇,274,2
恒,274,2
斑,274,2
姶,273,2
寅,273,2
斉,272,2
莫,272,2
靖,272,2
磐,272,2
軸,272,2
弓,272,2
稜,272,2
宛,272,2
耕,272,2
斜,271,2
稔,271,2
杏,271,2
亮,271,2
摂,271,2
鴨,271,2
霧,270,2
曳,270,2
貢,270,2
縞,270,2
呉,270,2
玄,270,2
緋,270,2
耶,270,2
篤,270,2
曇,269,2
彰,269,2
肇,269,2
唐,269,2
辰,269,2
謙,268,2
騨,268,2
絢,268,2
漁,268,2
軟,268,2
祥,268,2
麗,267,2
禅,267,2
諌,267,2
茜,267,2
聡,267,2
灘,266,2
睦,266,2
醐,266,2
浪,266,2
壬,266,2
峯,265,2
副,265,2
朴,265,2
庵,265,2
毅,265,2
亘,265,2
炭,265,2
榊,265,2
牡,265,2
孟,264,2
燕,264,2
桶,264,2
醍,264,2
椿,264,2
萌,264,2
鏑,263,2
銚,263,2
杜,263,2
橿,262,2
晶,262,2
剥,262,2
琵,262,2
鱗,262,2
湊,261,2
宋,261,2
楓,261,2
釜,261,2
娼,261,2
潤,261,2
匡,260,2
篭,260,2
蕨,260,2
謳,260,2
頚,260,2
琶,259,2
笛,259,2
蓮,259,2
禎,259,2
仔,259,2
茅,259,2
杭,259,2
湘,258,2
冴,258,2
征,258,2
麹,258,2
楠,258,2
輔,258,2
槙,257,2
奎,257,2
巣,257,2
潮,257,2
琳,256,2
壱,256,2
厨,255,2
呑,255,2
楊,255,2
於,254,2
樫,254,2
儲,253,2
祓,253,2
筍,253,2
會,253,2
怜,253,2
姜,253,2
腐,252,2
播,250,2
鰆,250,2
餃,250,2
邉,249,2
實,249,2
凜,249,2
鰤,248,2
渕,246,2
軋,245,2
痺,245,2
槇,245,2
黛,244,2
汁,243,2
拮,243,2
苺,242,2
杠,241,2
揉,239,2
鮨,238,2
并,238,2
藪,237,2
扁,237,2
綺,237,2
燻,237,2
轢,232,2
腱,231,2
顚,176,1
禱,85,0
摑,84,0
穣,31,0
